country,lat,lon,canton_short,canton
CHE,47.418408,8.373644,AG,Aargau
CHE,47.028107,8.631626,SZ,Schwyz
CHE,47.418408,8.373644,AG,Aargau
CHE,47.028107,8.631626,SZ,Schwyz
CHE,47.028107,8.631626,SZ,Schwyz
CHE,47.028107,8.631626,SZ,Schwyz
CHE,47.516392,8.594864,ZH,Zürich
CHE,47.348979,8.717593,ZH,Zürich
CHE,47.516392,8.594864,ZH,Zürich
CHE,46.932974,7.386187,BE,Bern
CHE,46.932974,7.386187,BE,Bern
CHE,47.516392,8.594864,ZH,Zürich
CHE,47.348979,8.717593,ZH,Zürich
CHE,47.516392,8.594864,ZH,Zürich
CHE,46.932974,7.386187,BE,Bern
CHE,47.167236,8.104228,LU,Luzern
CHE,46.121962,7.111595,VS,Wallis
CHE,46.121962,7.111595,VS,Wallis
CHE,47.28752013,8.71095613,ZH,Zürich
CHE,47.05663687,8.31016189,LU,Luzern
CHE,47.28752013,8.71095613,ZH,Zürich
CHE,47.37545935,7.94404536,SO,Solothurn
CHE,46.932974,7.386187,BE,Bern
CHE,46.121962,7.111595,VS,Wallis
CHE,47.05663687,8.31016189,LU,Luzern
CHE,47.37545935,7.94404536,SO,Solothurn
CHE,46.121962,7.111595,VS,Wallis
CHE,47.167236,8.104228,LU,Luzern
CHE,47.05663687,8.31016189,LU,Luzern
CHE,47.05663687,8.31016189,LU,Luzern
CHE,47.05663687,8.31016189,LU,Luzern
CHE,47.5645498,7.5669566,BS,Basel-Stadt
CHE,47.72261,8.643419,SH,Schaffhausen
CHE,47.72261,8.643419,SH,Schaffhausen
CHE,47.190676,7.553462,SO,Solothurn
CHE,47.05663687,8.31016189,LU,Luzern
CHE,47.72261,8.643419,SH,Schaffhausen
CHE,47.5645498,7.5669566,BS,Basel-Stadt
CHE,47.188216,7.401496,SO,Solothurn
CHE,46.423945,6.2549267,VD,Waadt
CHE,47.5645498,7.5669566,BS,Basel-Stadt
CHE,47.420278,8.503611,ZH,Zürich
